order_id,customer_id,product,quantity,unit_price,order_date
1001,1,Laptop Pro,1,1299.99,2024-01-15
1002,2,Wireless Mouse,3,29.99,2024-01-15
1003,1,USB-C Hub,2,79.99,2024-01-16
1004,3,Mechanical Keyboard,1,149.99,2024-01-16
1005,4,Monitor 27",2,399.99,2024-01-17
1006,2,Webcam HD,1,89.99,2024-01-17
1007,5,External SSD 1TB,1,129.99,2024-01-18
1008,1,Headphones Pro,1,249.99,2024-01-18
1009,3,Laptop Stand,1,69.99,2024-01-19
1010,4,HDMI Cable,5,19.99,2024-01-19
1011,5,Desk Mat XXL,1,39.99,2024-01-20
1012,2,Graphics Card,1,599.99,2024-01-20
1013,1,RAM 32GB Kit,1,179.99,2024-01-21
1014,3,Power Supply 750W,1,119.99,2024-01-21
1015,4,CPU Cooler,1,89.99,2024-01-22
1016,5,Case Mid-Tower,1,149.99,2024-01-22
1017,2,NVMe SSD 2TB,1,229.99,2024-01-23
1018,1,Thunderbolt Dock,1,299.99,2024-01-23
1019,3,Wireless Charger,2,49.99,2024-01-24
1020,4,USB Hub 7-Port,1,59.99,2024-01-24
